    ,  1   ,  2   ,  3   ,  4   ,  5   ,  6   ,  7   ,  8   ,  9   ,  10  ,  11  ,  12 
  A , 5438 , 6791 , 5590 , 7965 , 8571 , 8213 , 8794 , 7446 , 5242 , 5392 , 6105 , 4175 
  B ,13039 ,13657 ,11145 ,12534 ,11944 ,11285 , 9508 , 7684 ,10632 , 7655 ,10150 , 8143 
  C ,10930 , 9418 ,12485 , 8161 ,13766 ,11576 , 8727 , 9275 , 8878 , 9371 , 8283 , 8036 
  D ,12422 ,11071 ,11774 , 8217 ,10494 ,10760 ,11082 , 7487 , 7287 , 1755 , 1981 , 1815 
  E , 9327 ,11596 ,12850 , 8716 ,10551 ,10641 ,13004 , 7722 ,11518 , 5205 , 6088 , 5907 
  F ,10368 ,14978 ,16561 , 9957 ,10323 ,10805 ,10195 , 8749 ,10430 , 4986 , 9119 , 5721 
  G ,10193 , 7736 , 8046 , 7759 ,10017 , 7920 , 5129 , 4107 , 4356 , 7436 , 8124 , 7627 
  H , 3373 , 2384 , 1569 , 1862 , 2856 , 1811 , 2313 , 2615 , 2055 , 2748 , 2822 , 2836 

