    ,  1   ,  2   ,  3   ,  4   ,  5   ,  6   ,  7   ,  8   ,  9   ,  10  ,  11  ,  12 
  A ,10095 , 8217 , 9146 ,12806 ,13736 ,13263 ,15494 ,12303 ,12588 ,13325 ,16317 ,19393 
  B ,24923 ,18166 ,21705 ,22324 ,32645 ,26876 ,23374 ,22059 ,21642 ,24538 ,22547 ,20271 
  C ,35885 ,31017 ,29021 ,23617 ,38909 ,29824 ,30129 ,28299 ,25872 ,27927 ,35568 ,29119 
  D ,42657 ,31152 ,45457 ,28222 ,37703 ,39148 ,32268 ,30468 ,29413 , 3096 , 2093 , 1991 
  E ,28986 ,36922 ,36560 ,26960 ,30995 ,32320 ,33275 ,23182 ,27580 ,12224 ,10888 ,13221 
  F ,37145 ,31202 ,33012 ,34556 ,30944 ,29162 ,35547 ,26748 ,23686 ,18966 ,25975 ,22052 
  G ,19408 ,27082 ,27677 ,17482 ,20168 ,24114 ,23564 ,15732 ,16173 ,25915 ,28490 ,28786 
  H , 2766 , 2935 , 2093 , 2326 , 3430 , 2697 , 2321 , 2182 , 2228 , 1719 , 1832 , 2007 

